SUBSTATION,LAT,LNG,formatted_address,SUBSTATIONnum
Substation1,14.3386471,120.9369394,"Daang Radyal Blg. 2, Dasmariñas, Cavite, Philippines",Substation 1
Substation2,14.96451,120.8985248,"XV7X+RC2, Baliuag, Bulacan, Philippines",Substation 2
