SUBSTATION,PXF,DATE,HYDROGEN,METHANE,ETHANE,ETHYLENE,ACETYLENE,LAT,LNG
Substation2,2,1/16/22,40,91,163,6,0,14.96451,120.8985248
Substation2,2,1/17/22,24,111,252,10,0,14.96451,120.8985248
Substation2,2,1/18/22,21,122,248,8,0,14.96451,120.8985248
Substation2,2,1/19/22,22,97,211,9,0,14.96451,120.8985248
Substation2,2,1/20/22,16,89,204,7,0,14.96451,120.8985248
Substation2,2,1/21/22,31,121,248,8,0,14.96451,120.8985248
Substation2,2,1/22/22,25,120,242,9,0,14.96451,120.8985248
Substation2,2,1/23/22,38,128,218,0,0,14.96451,120.8985248
Substation2,2,1/24/22,18,129,259,0,0,14.96451,120.8985248
Substation2,2,1/25/22,19,130,266,0,0,14.96451,120.8985248
Substation2,2,1/26/22,6,109,229,0,0,14.96451,120.8985248
Substation2,2,1/27/22,19,113,268,16,0,14.96451,120.8985248
Substation2,2,1/28/22,26,132,277,11,0,14.96451,120.8985248
Substation2,2,1/29/22,39,133,286,13,2,14.96451,120.8985248
Substation2,2,1/30/22,30,133,279,15,0,14.96451,120.8985248
Substation2,2,1/31/22,36,148,305,15,0,14.96451,120.8985248
Substation2,2,02/01/2022,24,129,275,10,0,14.96451,120.8985248
Substation2,2,02/02/2022,35,141,319,14,0,14.96451,120.8985248
Substation2,2,02/03/2022,10,134,340,16,0,14.96451,120.8985248
Substation2,2,02/04/2022,26,119,253,16,2,14.96451,120.8985248
Substation2,2,02/05/2022,50,0,254,15,0,14.96451,120.8985248
Substation2,2,02/06/2022,62,0,232,14,0,14.96451,120.8985248
Substation2,2,02/07/2022,60,0,238,16,0,14.96451,120.8985248
Substation2,2,02/08/2022,22,154,282,17,0,14.96451,120.8985248
Substation2,2,02/09/2022,2,162,318,18,0,14.96451,120.8985248
Substation2,2,02/10/2022,27,168,362,19,0,14.96451,120.8985248
Substation2,2,02/11/2022,20,142,288,24,0,14.96451,120.8985248
Substation2,2,02/12/2022,10,32,362,23,0,14.96451,120.8985248
Substation2,2,2/13/22,9,17,357,23,0,14.96451,120.8985248
Substation2,2,2/14/22,17,5,396,25,0,14.96451,120.8985248
Substation2,2,2/15/22,11,150,301,28,0,14.96451,120.8985248
Substation2,2,2/16/22,16,199,449,28,0,14.96451,120.8985248
Substation2,2,2/17/22,14,227,486,31,0,14.96451,120.8985248
Substation2,2,2/18/22,21,182,410,19,0,14.96451,120.8985248
Substation2,2,2/19/22,18,204,436,23,0,14.96451,120.8985248
Substation2,2,2/20/22,11,204,434,27,0,14.96451,120.8985248
Substation2,2,2/21/22,3,211,507,34,0,14.96451,120.8985248
Substation2,2,2/22/22,14,206,457,31,0,14.96451,120.8985248
Substation2,2,2/23/22,2,211,497,33,0,14.96451,120.8985248
Substation2,2,2/24/22,8,180,416,80,0,14.96451,120.8985248
Substation2,2,2/25/22,4,230,559,21,0,14.96451,120.8985248
Substation2,2,2/26/22,8,234,529,15,0,14.96451,120.8985248
Substation2,2,2/27/22,7,216,569,20,0,14.96451,120.8985248
Substation2,2,2/28/22,16,255,796,11,0,14.96451,120.8985248
Substation2,2,03/01/2022,14,222,648,10,0,14.96451,120.8985248
